Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
267.1272__105.04,565939.76163,744996.79957,534288.40693,718830.13581,421446.59739,438497.80074,1163626.04137,3052859.95038,1395101.12247,1906220.67077,1308966.50398,1484404.34789
267.1415__149.85,25679.33151,0,0,0,0,24675.21649,89027.48669,134586.69352,73286.17468,100845.49311,26132.88134,0
267.1597__24.09,142126.15137,182038.91938,120955.18624,271277.40698,89291.56959,318741.57919,545437.00683,529556.96745,673430.00788,338423.21584,434074.45168,497229.82115
267.1809__37.39,43836.04098,65541.31729,170710.97558,115068.181,51260.53957,234695.09606,4926918.50186,3338163.21159,3988063.96747,3926073.79649,3981678.95878,5748600.05896
267.269__24.33,155803.94776,348351.01256,256018.95585,584895.96522,170043.34053,632275.19834,805238.80639,571776.74675,1044258.42635,459474.48418,445187.59507,823503.53197
267.6183__106.91,1000665.36424,687947.8984,397809.90468,692452.23143,955493.6318,568125.64155,1063855.75873,1372988.81781,2027893.71522,361622.07429,614708.13378,1676258.84779
267.6478__149.6,15085000.62605,13401727.08901,11872159.89823,14494521.74456,15587296.58805,12907488.73488,12988386.48121,12595518.15518,14850242.68158,13734295.01689,11405226.54592,12939631.64319
268.0243__114.88,384623.92255,724037.18978,1231155.51106,1543090.11853,1331655.35832,1481116.22541,975732.92277,1472024.73043,1491006.50455,943630.85684,1177557.09693,1558953.35079
268.0274__24.34,154311.62884,120156.65087,40503.19273,394136.42566,99607.27659,304713.61225,875343.74147,528687.71918,1500496.2454,595878.03364,880946.74729,939012.0567
268.1493__149.43,3166088.67035,3028291.39747,2708526.08711,3285675.07029,3557135.91425,3018068.89184,248776.58342,2536092.51356,2994490.918,3037644.86708,2171793.22084,2172293.20464
268.1841__37.27,0,0,0,0,0,0,574149.73831,360368.27425,463277.09556,453800.00757,484643.03415,732717.25091
268.228__24.23,0,0,0,0,0,0,70692.28129,0,0,0,105248.0055,0
268.6446__151.63,590793.72637,254720.55195,550364.34854,48748.067,212397.80315,297029.06481,612593.05808,694353.86203,839050.26702,524978.33987,201010.15445,429075.25333
268.6617__24.39,41677.36204,128407.43866,107956.20094,253543.85153,49678.61748,229024.17547,223155.80764,160824.89128,190042.09219,136929.56774,550168.5809,328124.53984
268.8147__77.44,0,0,0,0,0,0,1497894.51932,594100.53747,0,1048693.53251,0,0
268.8476__64.53,4445260.67115,4055828.35425,5793828.27697,6410803.48933,2883017.0714,5720213.11729,9068248.24911,8484592.61056,5832487.83308,8536616.54835,9738717.91163,9116682.872
268.985__129.64,0,753431.19134,1227411.80082,534330.94351,2231204.91018,478366.87127,354327.77941,210744.55783,548015.24983,213090.81108,0,445352.93259
269.0887__56.71,0,3980.99558,20136.20929,161151.29706,18434.11534,31221.91015,56125.84818,10378.67445,6612.24192,8484.728,354467.74734,0
269.1269__116.39,241194.2069,157274.70965,80262.88701,2954985.51738,3245600.86093,2759298.83647,15883875.0545,12255936.87401,1439356.26365,490750.2615,1207820.57195,3961791.31882
269.1521__148.75,0,0,0,0,0,0,0,0,0,0,0,0
269.227__24.02,315703.43398,464432.49906,79209.9979,189816.22746,345149.43232,190240.9869,294537.41873,265281.99195,1107427.80435,438235.45401,674911.31103,202701.94209
